"zooLabel","wikidata","abstract","locationLabel","lat","long"
"Long Island Game Farm","http://www.wikidata.org/entity/Q6672689",,,40.84833145141602,-72.78888702392578
"Longfellow Zoological Gardens","http://www.wikidata.org/entity/Q6673803",,,44.91555404663086,-93.2147216796875
"Magnetic Hill Zoo","http://www.wikidata.org/entity/Q6731479",,,46.1374397277832,-64.88482666015625
"Marble Palace Zoo","http://www.wikidata.org/entity/Q6755206",,,22.58200073242188,88.3594970703125
"Adventure Aquarium","http://www.wikidata.org/entity/Q12052749",,,39.94499969482422,-75.13099670410156
"Langedrag Nature Park","http://www.wikidata.org/entity/Q11983144",,,60.44758224487305,8.88105583190918
"Paradise Park, Cornwall","http://www.wikidata.org/entity/Q12065270",,,50.17895126342773,-5.426169872283936
"Taronga Western Plains Zoo","http://www.wikidata.org/entity/Q12070638",,,-32.27188873291016,148.5872192382812
"Zoopark Chomutov","http://www.wikidata.org/entity/Q12045888",,,50.47770309448242,13.4223747253418
"Rabat Zoo","http://www.wikidata.org/entity/Q28496300",,,33.95299911499023,-6.894999980926514
"GaiaZOO","http://www.wikidata.org/entity/Q1304441",,,50.86944580078125,6.049444675445557
"Leeds Zoological and Botanical Gardens","http://www.wikidata.org/entity/Q96096397",,,53.81527709960938,-1.575555562973022
"Jackson Zoo","http://www.wikidata.org/entity/Q6117808",,,32.3202018737793,-90.220703125
"Zoológico Los Coyotes","http://www.wikidata.org/entity/Q6171767",,,19.31900024414062,-99.12200164794922
"River Wonders","http://www.wikidata.org/entity/Q7337785",,,1.40378201007843,103.7941436767578
"Riverbanks Zoo","http://www.wikidata.org/entity/Q7338072",,,34.00965118408203,-81.07243347167969
"Riverview Park & Zoo","http://www.wikidata.org/entity/Q7338761",,,44.34297180175781,-78.30952453613281
"Memphis Zoo","http://www.wikidata.org/entity/Q6815902",,,35.15000152587891,-89.99430084228516
"Mesker Park Zoo and Botanic Garden","http://www.wikidata.org/entity/Q6821356",,,37.99710083007812,-87.60160064697266
"Metro Richmond Zoo","http://www.wikidata.org/entity/Q6824686",,,37.38180160522461,-77.76740264892578
"Groote Schuur Zoo","http://www.wikidata.org/entity/Q18125307",,,-33.96200180053711,18.45899963378906
"Wildlands (zoo)","http://www.wikidata.org/entity/Q18088915",,,52.78189849853516,6.888899803161621
"Catoctin Wildlife Preserve and Zoo","http://www.wikidata.org/entity/Q5053833",,,39.59064102172852,-77.43074035644531
"Cedar Cove Feline Conservatory & Sanctuary","http://www.wikidata.org/entity/Q5056599",,,38.6191291809082,-94.62845611572266
"Cologne Zoological Garden","http://www.wikidata.org/entity/Q529586",,,50.95833206176758,6.973333358764648
"Baghdad Zoo","http://www.wikidata.org/entity/Q2349688",,,33.31484603881836,44.37641525268555
"Ramat Gan Safari","http://www.wikidata.org/entity/Q2343219",,,32.04499816894531,34.82500076293945
"Zoolandia","http://www.wikidata.org/entity/Q2336198",,,60.56710815429688,22.43433952331543
"Catskill Game Farm","http://www.wikidata.org/entity/Q2943001",,,42.23805618286133,-74.00833129882812
"Château de Thoiry","http://www.wikidata.org/entity/Q2970796",,,48.86388778686523,1.795833349227905
"Chiang Mai Zoo","http://www.wikidata.org/entity/Q3034913",,,18.80900001525879,98.94699859619141
"Downtown Aquarium (Denver)","http://www.wikidata.org/entity/Q3023370",,,39.75166702270508,-105.0141677856445
"Healesville Sanctuary","http://www.wikidata.org/entity/Q3047381",,,-37.68220138549805,145.5316009521484
"Saint Louis Zoo","http://www.wikidata.org/entity/Q3036205",,,38.6349983215332,-90.29000091552734
"Zoo Miami","http://www.wikidata.org/entity/Q3026688",,,25.61000061035156,-80.40000152587891
"Kolmården Wildlife Park","http://www.wikidata.org/entity/Q1938567",,,58.66527938842773,16.46638870239258
"Ménagerie du Jardin des plantes","http://www.wikidata.org/entity/Q1957702",,,48.84472274780273,2.359722137451172
"Valencia Bioparc","http://www.wikidata.org/entity/Q1954263",,,39.47800064086914,-0.4070000052452087
"Oakland Zoo","http://www.wikidata.org/entity/Q2008530",,,37.75080108642578,-122.1476974487305
"Zoo Aquarium de Madrid","http://www.wikidata.org/entity/Q1994806",,,40.40861129760742,-3.762500047683716
"Reptile Gardens","http://www.wikidata.org/entity/Q3427461",,,43.99036026000977,-103.2716903686523
"Ostrava Zoo","http://www.wikidata.org/entity/Q3562223",,,49.84556579589844,18.32510948181152
"Santa Barbara Museum of Natural History Sea Center","http://www.wikidata.org/entity/Q3542641",,,34.41052627563477,-119.6861267089844
"Akron Zoo","http://www.wikidata.org/entity/Q4701708",,,41.08004760742188,-81.54142761230469
"Al Areen Wildlife Park","http://www.wikidata.org/entity/Q4703495",,,26.01555633544922,50.49555587768555
"Alabama Gulf Coast Zoo","http://www.wikidata.org/entity/Q4705255",,,30.31267547607422,-87.67174530029297
"Alameda Park Zoo","http://www.wikidata.org/entity/Q4705881",,,32.9015007019043,-105.9609985351562
"Alameda Wildlife Conservation Park","http://www.wikidata.org/entity/Q4705889",,,36.13057708740234,-5.350263118743896
"Alaska SeaLife Center","http://www.wikidata.org/entity/Q4708604",,,60.09999847412109,-149.4408264160156
"Alma Park Zoo","http://www.wikidata.org/entity/Q4733588",,,-27.22673606872559,152.982666015625
"Amirthi Zoological Park","http://www.wikidata.org/entity/Q4746784",,,12.73236274719238,79.05667114257812
"Kanpur Zoological Park","http://www.wikidata.org/entity/Q4731647",,,26.5029239654541,80.30340576171875
"Palm Beach Zoo","http://www.wikidata.org/entity/Q7128018",,,26.66640472412109,-80.06929779052734
"Panaʻewa Rainforest Zoo","http://www.wikidata.org/entity/Q7129731",,,19.65519905090332,-155.0747985839844
"Papanack Park Zoo","http://www.wikidata.org/entity/Q7132469",,,45.55947113037109,-75.12047576904297
"Hertfordshire Zoo","http://www.wikidata.org/entity/Q7134390",,,51.74399948120117,-0.06210000067949295
"Paradise Wildlife Park","http://www.wikidata.org/entity/Q7134390",,,51.74399948120117,-0.06210000067949295
"Parassinikkadavu Snake Park","http://www.wikidata.org/entity/Q7136009",,,11.99020004272461,75.38929748535156
"Parc Safari","http://www.wikidata.org/entity/Q7136381",,,45.04166793823242,-73.52500152587891
"Parque Lecocq","http://www.wikidata.org/entity/Q7139644",,,-34.79180145263672,-56.33427047729492
"Wildheart Animal Sanctuary","http://www.wikidata.org/entity/Q6084173",,,50.6609001159668,-1.139400005340576
"Reptilia (zoo)","http://www.wikidata.org/entity/Q7314355",,,43.83330154418945,-79.52069854736328
"The Elephant Sanctuary Hartbeespoort Dam","http://www.wikidata.org/entity/Q7731760",,,-25.72161674499512,27.8074951171875
"Tiger and Lion Safari","http://www.wikidata.org/entity/Q7859688",,,13.97200012207031,75.49299621582031
"Tropical Birdland, Leicestershire","http://www.wikidata.org/entity/Q7845760",,,52.63161087036133,-1.296869993209839
"Tropiquaria","http://www.wikidata.org/entity/Q7846248",,,51.1609001159668,-3.348900079727173
"Tupelo Buffalo Park and Zoo","http://www.wikidata.org/entity/Q7853507",,,34.28689956665039,-88.76869964599609
"Turtle Back Zoo","http://www.wikidata.org/entity/Q7856369",,,40.76750183105469,-74.28194427490234
"Jinan Zoo","http://www.wikidata.org/entity/Q9097826",,,36.67485046386719,117.0175476074219
"Parque Municipal Summit","http://www.wikidata.org/entity/Q9055836",,,9.066161155700684,-79.64555358886719
"Pueblo Zoo","http://www.wikidata.org/entity/Q9097833",,,38.26169967651367,-104.6580963134766
"Shoushan Zoo","http://www.wikidata.org/entity/Q9097841",,,22.63460922241211,120.2749481201172
"Eskişehir Zoo","http://www.wikidata.org/entity/Q19611523",,,39.7680549621582,30.47638893127441
"Garlyn Zoo","http://www.wikidata.org/entity/Q5523486",,,,
"Ark Avilon Zoo","http://www.wikidata.org/entity/Q104841545",,,,
"Riyadh Zoo","http://www.wikidata.org/entity/Q106771209",,,,
"Planète Sauvage (zoological park)","http://www.wikidata.org/entity/Q3391624",,,,
"Barnum's Aquarial Gardens","http://www.wikidata.org/entity/Q4862002",,,,
"Zoológico Benito Juárez","http://www.wikidata.org/entity/Q18391178",,,,
"Alaska Wildlife Conservation Center","http://www.wikidata.org/entity/Q4708633",,,,
"American International Rattlesnake Museum","http://www.wikidata.org/entity/Q4744178",,,,
"Caricuao Zoo","http://www.wikidata.org/entity/Q7139676",,,,
"Jijamata Udyaan","http://www.wikidata.org/entity/Q647766",,"Mumbai",18.97811508178711,72.83674621582031
"St. Augustine Alligator Farm Zoological Park","http://www.wikidata.org/entity/Q3495242",,"St. Johns County, Florida",29.88138961791992,-81.288330078125
"St. Augustine Alligator Farm Zoological Park","http://www.wikidata.org/entity/Q3495242",,"Florida",29.88138961791992,-81.288330078125
"Forestry Farm Park and Zoo","http://www.wikidata.org/entity/Q5469254",,"Saskatoon",52.15700149536133,-106.5841979980469
"Forestry Farm Park and Zoo","http://www.wikidata.org/entity/Q5469254",,"Canada",52.15700149536133,-106.5841979980469
"Forestry Farm Park and Zoo","http://www.wikidata.org/entity/Q5469254",,"Saskatchewan",52.15700149536133,-106.5841979980469
"Manila Ocean Park","http://www.wikidata.org/entity/Q28980",,"Rizal Park",14.5793399810791,120.9732971191406
"Manila Ocean Park","http://www.wikidata.org/entity/Q28980",,"Ermita",14.5793399810791,120.9732971191406
"La Torbiera","http://www.wikidata.org/entity/Q3213172",,"Agrate Conturbia",45.68330001831055,8.550000190734863
"Detroit Zoo","http://www.wikidata.org/entity/Q3576018",,"Royal Oak, Michigan",42.47694396972656,-83.15694427490234
"Detroit Zoo","http://www.wikidata.org/entity/Q3576018",,"Huntington Woods, Michigan",42.47694396972656,-83.15694427490234
"Como Park Zoo and Conservatory","http://www.wikidata.org/entity/Q5155139",,"Saint Paul, Minnesota",44.98139572143555,-93.15081024169922
"Como Park Zoo and Conservatory","http://www.wikidata.org/entity/Q5155139",,"Minnesota",44.98139572143555,-93.15081024169922
"Wilhelma","http://www.wikidata.org/entity/Q679067",,"Baden-Württemberg",,
"Wilhelma","http://www.wikidata.org/entity/Q679067",,"Bad Cannstatt",,
"Tygerberg Zoo","http://www.wikidata.org/entity/Q20982041",,,-33.8197021484375,18.77782440185547
"Crocodiles of the World","http://www.wikidata.org/entity/Q108471086",,,51.7772216796875,-1.584722280502319
"Bahawalpur Zoo","http://www.wikidata.org/entity/Q4842512",,,29.40276336669922,71.68160247802734
"Balkasar Bear Sanctuary","http://www.wikidata.org/entity/Q4851117",,,32.93958282470703,72.68128204345703
"Jurong Reptile Park","http://www.wikidata.org/entity/Q6315378",,,1.320899963378906,103.7089004516602
"The Elephant Sanctuary in Tennessee","http://www.wikidata.org/entity/Q105580712",,,35.54831695556641,-87.55092620849609
"Tri-State Zoological Park","http://www.wikidata.org/entity/Q7844168",,,39.66362380981445,-78.71486663818359
"Tripoli Zoo","http://www.wikidata.org/entity/Q7843680",,,32.85860061645508,13.17889976501465
"Tuần Châu Aquarium","http://www.wikidata.org/entity/Q7850623",,,20.92772102355957,106.9906616210938
"Kund Park","http://www.wikidata.org/entity/Q6444237",,,33.92835235595703,72.23471832275391
"Australia Zoo","http://www.wikidata.org/entity/Q781321",,,-26.83659934997559,152.9595031738281
"ZOOM Erlebniswelt Gelsenkirchen","http://www.wikidata.org/entity/Q136330",,,51.54416656494141,7.110833168029785
"Arignar Anna Zoological Park","http://www.wikidata.org/entity/Q647587",,,12.87917041778564,80.08167266845703
"Dolphin Research Center","http://www.wikidata.org/entity/Q649904",,,24.76696014404297,-80.94551849365234
"Réserve Africaine de Sigean","http://www.wikidata.org/entity/Q1479980",,,43.06813430786133,2.953563928604126
"Chemnitz Zoo","http://www.wikidata.org/entity/Q1577839",,,50.81833267211914,12.83500003814697
"ABQ BioPark Botanic Garden","http://www.wikidata.org/entity/Q2843476",,,35.09329986572266,-106.6812973022461
"New England Aquarium","http://www.wikidata.org/entity/Q2859185",,,42.35916519165039,-71.04944610595703
"Nehru Zoological Park","http://www.wikidata.org/entity/Q3493970",,,17.35111045837402,78.44972229003906
"Padmaja Naidu Himalayan Zoological Park","http://www.wikidata.org/entity/Q3495905",,,27.05860900878906,88.25440216064453
"Silesian Zoological Garden","http://www.wikidata.org/entity/Q3498147",,,50.28166198730469,18.99347305297852
"Silver Springs (attraction)","http://www.wikidata.org/entity/Q3484004",,,29.21805953979492,-82.05454254150391
"Flying High Bird Sanctuary","http://www.wikidata.org/entity/Q5463448",,,-25.2186107635498,152.2391662597656
"Folly Farm Adventure Park and Zoo","http://www.wikidata.org/entity/Q5464809",,,51.74382019042969,-4.732832908630371
"Folsom City Zoo Sanctuary","http://www.wikidata.org/entity/Q5464852",,,38.68199920654297,-121.1650009155273
"Bayer Insectarium","http://www.wikidata.org/entity/Q6902500",,,38.6348991394043,-90.29190063476562
"Monarto Safari Park","http://www.wikidata.org/entity/Q6898210",,,-35.10210037231445,139.1423950195312
"Monkey Jungle","http://www.wikidata.org/entity/Q6900777",,,25.56636619567871,-80.43131256103516
"Montgomery Zoo","http://www.wikidata.org/entity/Q6905834",,,32.42012786865234,-86.27719879150391
"Moody Gardens","http://www.wikidata.org/entity/Q6907207",,,29.27409934997559,-94.85130310058594
"Moonlit Sanctuary Wildlife Conservation Park","http://www.wikidata.org/entity/Q6907907",,,-38.21287155151367,145.249755859375
"Nashville Zoo at Grassmere","http://www.wikidata.org/entity/Q6896316",,,36.08916854858398,-86.74361419677734
"Oaklawn Farm Zoo","http://www.wikidata.org/entity/Q7074095",,,45.00443649291992,-64.84457397460938
"Odense Zoo","http://www.wikidata.org/entity/Q7077669",,,55.37799835205078,10.3730001449585
"Oklahoma Aquarium","http://www.wikidata.org/entity/Q7082106",,,36.01948928833008,-95.95716857910156
"Oklahoma City Zoo and Botanical Garden","http://www.wikidata.org/entity/Q7082160",,,35.52119827270508,-97.47239685058594
"Shoalhaven Zoo","http://www.wikidata.org/entity/Q7066894",,,-34.87039947509766,150.5680999755859
"Virginia Aquarium","http://www.wikidata.org/entity/Q7934109",,,36.82104873657227,-75.98377227783203
"Virginia Living Museum","http://www.wikidata.org/entity/Q7934386",,,37.07001876831055,-76.47969818115234
"Virginia Zoological Park","http://www.wikidata.org/entity/Q7934671",,,36.87860107421875,-76.27739715576172
"Wingham Wildlife Park","http://www.wikidata.org/entity/Q8025221",,,51.27989959716797,1.228099942207336
"Woburn Safari Park","http://www.wikidata.org/entity/Q8028978",,,52.00500106811523,-0.5889999866485596
"Wonders of Wildlife Museum & Aquarium","http://www.wikidata.org/entity/Q8031923",,,37.18140029907227,-93.29650115966797
"Woodland Park Zoo","http://www.wikidata.org/entity/Q8032871",,,47.66833877563477,-122.3498382568359
"Woodward's Gardens","http://www.wikidata.org/entity/Q8033549",,,37.76800155639648,-122.4209976196289
"World of Birds Wildlife Sanctuary and Monkey Park","http://www.wikidata.org/entity/Q8036586",,,-34.01750183105469,18.36249923706055
"Kabul Zoo","http://www.wikidata.org/entity/Q833625",,,34.50944519042969,69.15528106689453
"Lovech Zoo","http://www.wikidata.org/entity/Q18639466",,,43.13854217529297,24.72755241394043
"Stara Zagora Zoo","http://www.wikidata.org/entity/Q18639777",,,42.43827438354492,25.60957527160645
"DeYoung Family Zoo","http://www.wikidata.org/entity/Q5244208",,,45.30792999267578,-87.64491271972656
"Big Bear Alpine Zoo","http://www.wikidata.org/entity/Q6907923",,,34.22956848144531,-116.8589782714844
"ME's Zoo","http://www.wikidata.org/entity/Q6715234",,,40.11959838867188,-85.20899963378906
"Manchester Zoological Gardens","http://www.wikidata.org/entity/Q6747564",,,53.51027679443359,-2.25861120223999
"Micke Grove Zoo","http://www.wikidata.org/entity/Q6838512",,,38.07916641235352,-121.2719421386719
"Monkey Sanctuary","http://www.wikidata.org/entity/Q6900809",,,50.36539840698242,-4.413599967956543
"Northeastern Wisconsin Zoo","http://www.wikidata.org/entity/Q7058075",,,44.66074752807617,-88.08979797363281
"Okanagan Game Farm","http://www.wikidata.org/entity/Q7081785",,,49.40055465698242,-119.6086120605469
"Sasebo Zoological Park and Botanical Garden","http://www.wikidata.org/entity/Q7425054",,,33.15122604370117,129.6895141601562
"Scovill Zoo","http://www.wikidata.org/entity/Q7438666",,,39.82888793945312,-88.90666961669922
"Serpent Safari","http://www.wikidata.org/entity/Q7455096",,,42.38888931274414,-87.95749664306641
"Shambala Preserve","http://www.wikidata.org/entity/Q7487448",,,34.44029998779297,-118.2523956298828
"Southport Zoo","http://www.wikidata.org/entity/Q7570986",,,53.6510009765625,-3.015000104904175
"Space Farms Zoo and Museum","http://www.wikidata.org/entity/Q7572346",,,41.20959854125977,-74.69300079345703
"Stapp's Circle S Ranch","http://www.wikidata.org/entity/Q7600493",,,39.3200569152832,-85.39006805419922
"Van Kleef Aquarium","http://www.wikidata.org/entity/Q7913465",,,1.292888879776001,103.8451919555664
"Vehari Wildlife Park","http://www.wikidata.org/entity/Q7918400",,,30.03737640380859,72.35034942626953
"Wildlife WayStation","http://www.wikidata.org/entity/Q8001334",,,34.33139038085938,-118.3444442749023
"Zoo Taiping","http://www.wikidata.org/entity/Q8074067",,,4.853888988494873,100.7333297729492
"DG Khan Zoo","http://www.wikidata.org/entity/Q48732995",,,30.04159164428711,70.62649536132812
"National Zoo & Aquarium","http://www.wikidata.org/entity/Q495039",,,-35.30055618286133,149.0694427490234
"Bitola Zoo","http://www.wikidata.org/entity/Q158859",,,41.01459884643555,21.34149932861328
"Nordens Ark","http://www.wikidata.org/entity/Q166851",,,58.44111251831055,11.4350004196167
"Ueno Zoo","http://www.wikidata.org/entity/Q162722",,,35.71749877929688,139.7713928222656
"Knie's Kinderzoo","http://www.wikidata.org/entity/Q688446",,,47.22407913208008,8.821989059448242
"Nuremberg Zoo","http://www.wikidata.org/entity/Q686220",,,49.4474983215332,11.14472198486328
"Omaha's Henry Doorly Zoo and Aquarium","http://www.wikidata.org/entity/Q674961",,,41.22470474243164,-95.92870330810547
"Tierpark Dählhölzli","http://www.wikidata.org/entity/Q683361",,,46.93436813354492,7.449720859527588
"Bioparco di Roma","http://www.wikidata.org/entity/Q864639",,,41.91749954223633,12.48527812957764
"Birmingham Zoo","http://www.wikidata.org/entity/Q865749",,,33.48740386962891,-86.77958679199219
"Lüneburg Heath Wildlife Park","http://www.wikidata.org/entity/Q869894",,,53.23669815063477,10.04429340362549
"Naypyidaw Zoological Gardens","http://www.wikidata.org/entity/Q862533",,,19.86393737792969,96.25581359863281
"Nogeyama Zoo","http://www.wikidata.org/entity/Q861318",,,35.44655609130859,139.6228790283203
"Serengeti Park","http://www.wikidata.org/entity/Q874796",,,52.74555587768555,9.616666793823242
"Mote Marine Laboratory","http://www.wikidata.org/entity/Q6917159",,,27.33291625976562,-82.57714080810547
"Landau Zoo","http://www.wikidata.org/entity/Q220051",,,49.20312118530273,8.110329627990723
"Givskud Zoo","http://www.wikidata.org/entity/Q1790875",,,55.81166839599609,9.351943969726562
"Aalborg Zoo","http://www.wikidata.org/entity/Q3253024",,,57.03680038452148,9.898200035095215
"Adelaide Zoo","http://www.wikidata.org/entity/Q3244627",,,-34.91416549682617,138.6058349609375
"Lincoln Park Zoo","http://www.wikidata.org/entity/Q3241309",,,41.92139053344727,-87.63388824462891
"Diergaarde Blijdorp","http://www.wikidata.org/entity/Q18775796",,,51.92695999145508,4.448132514953613
"Ljubljana Zoo","http://www.wikidata.org/entity/Q3436372",,,46.05257034301758,14.47224426269531
"Safari de Peaugres","http://www.wikidata.org/entity/Q3461255",,,45.26910018920898,4.717000007629395
"French Guiana Zoo","http://www.wikidata.org/entity/Q3576019",,,4.947999954223633,-52.4922981262207
"Guadalajara Zoo","http://www.wikidata.org/entity/Q3576044",,,20.7283821105957,-103.3083343505859
