zoo,zooLabel,country,countryLabel,region,regionLabel,coord,inception,website
http://www.wikidata.org/entity/Q29025197,Comilla Zoo and Botanical Garden,http://www.wikidata.org/entity/Q902,Bangladesh,,,Point(91.17138889 23.47222222),,
http://www.wikidata.org/entity/Q11305053,Sahoro Resort Bear Mountain,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q1210175,Shintoku,Point(142.807777777 43.178055555),,https://bear-mt.jp/
http://www.wikidata.org/entity/Q4851117,Balkasar Bear Sanctuary,http://www.wikidata.org/entity/Q843,Pakistan,,,Point(72.68128 32.939584),,
http://www.wikidata.org/entity/Q11446176,Okuhida Bear Park,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q622594,Takayama,Point(137.54313889 36.21927778),,https://kumabokujyo.com/
http://www.wikidata.org/entity/Q22080053,Sajjangarh Biological Park,http://www.wikidata.org/entity/Q668,India,http://www.wikidata.org/entity/Q1437,Rajasthan,Point(73.6497259 24.5931841),,http://www.sajjangarhbiologicalpark.in
http://www.wikidata.org/entity/Q19613864,İzmir Wildlife Park,http://www.wikidata.org/entity/Q43,Turkey,http://www.wikidata.org/entity/Q1908058,Çiğli district,Point(26.963611111 38.491111111),2008-11-30T00:00:00Z,https://www.izmirdogalyasamparki.org.tr
http://www.wikidata.org/entity/Q28219616,Johor Zoo,http://www.wikidata.org/entity/Q833,Malaysia,http://www.wikidata.org/entity/Q231318,Johor Bahru,Point(103.75225 1.4575),1928-01-01T00:00:00Z,https://zootiket.johor.gov.my/
http://www.wikidata.org/entity/Q11305917,Sunpiazza Aquaruim,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q30922080,Atsubetsuchūō,Point(141.471666666 43.036944444),,https://www.sunpiazza-aquarium.com/
http://www.wikidata.org/entity/Q22675361,Q22675361,http://www.wikidata.org/entity/Q423,North Korea,,,Point(129.79916667 41.79944444),,
http://www.wikidata.org/entity/Q30114492,Nagoya Zoo,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q109329124,Tsurumai-chō,Point(136.91722222 35.15366667),,
http://www.wikidata.org/entity/Q5087827,Chhatbir Zoo,http://www.wikidata.org/entity/Q668,India,,,Point(76.7928 30.6036),1977-01-01T00:00:00Z,http://chhatbirzoo.gov.in/
http://www.wikidata.org/entity/Q11282873,Q11282873,http://www.wikidata.org/entity/Q17,Japan,,,Point(135.066611 34.928722),1990-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q11360163,Joetsu Aquarium,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q582289,Jōetsu-shi,Point(138.23297222 37.1735),2018-06-01T00:00:00Z,https://www.umigatari.jp/joetsu/
