"zooLabel","wikidata"
"Zoo Miami","http://www.wikidata.org/entity/Q3026688"
"Kolmården Wildlife Park","http://www.wikidata.org/entity/Q1938567"
"Ménagerie du Jardin des plantes","http://www.wikidata.org/entity/Q1957702"
"Valencia Bioparc","http://www.wikidata.org/entity/Q1954263"
"Oakland Zoo","http://www.wikidata.org/entity/Q2008530"
"Zoo Aquarium de Madrid","http://www.wikidata.org/entity/Q1994806"
"Reptile Gardens","http://www.wikidata.org/entity/Q3427461"
"Ostrava Zoo","http://www.wikidata.org/entity/Q3562223"
"Santa Barbara Museum of Natural History Sea Center","http://www.wikidata.org/entity/Q3542641"
"Zoo di Pistoia","http://www.wikidata.org/entity/Q3763933"
"Akron Zoo","http://www.wikidata.org/entity/Q4701708"
"Al Areen Wildlife Park","http://www.wikidata.org/entity/Q4703495"
"Alabama Gulf Coast Zoo","http://www.wikidata.org/entity/Q4705255"
"Alameda Park Zoo","http://www.wikidata.org/entity/Q4705881"
"Alameda Wildlife Conservation Park","http://www.wikidata.org/entity/Q4705889"
"Alaska SeaLife Center","http://www.wikidata.org/entity/Q4708604"
"Alaska Wildlife Conservation Center","http://www.wikidata.org/entity/Q4708633"
"Alma Park Zoo","http://www.wikidata.org/entity/Q4733588"
"American International Rattlesnake Museum","http://www.wikidata.org/entity/Q4744178"
"Amirthi Zoological Park","http://www.wikidata.org/entity/Q4746784"
"Kanpur Zoological Park","http://www.wikidata.org/entity/Q4731647"
"Caricuao Zoo","http://www.wikidata.org/entity/Q7139676"
"Palm Beach Zoo","http://www.wikidata.org/entity/Q7128018"
"Panaʻewa Rainforest Zoo","http://www.wikidata.org/entity/Q7129731"
"Papanack Park Zoo","http://www.wikidata.org/entity/Q7132469"
"Hertfordshire Zoo","http://www.wikidata.org/entity/Q7134390"
"Paradise Wildlife Park","http://www.wikidata.org/entity/Q7134390"
"Parassinikkadavu Snake Park","http://www.wikidata.org/entity/Q7136009"
"Parc Safari","http://www.wikidata.org/entity/Q7136381"
"Parque Lecocq","http://www.wikidata.org/entity/Q7139644"
"Wildheart Animal Sanctuary","http://www.wikidata.org/entity/Q6084173"
"Reptilia (zoo)","http://www.wikidata.org/entity/Q7314355"
"The Elephant Sanctuary Hartbeespoort Dam","http://www.wikidata.org/entity/Q7731760"
"The Lair (Dreamworld)","http://www.wikidata.org/entity/Q7745231"
"Botanical and Zoological Garden of Tsimbazaza","http://www.wikidata.org/entity/Q7849674"
"Tiger and Lion Safari","http://www.wikidata.org/entity/Q7859688"
"Tropical Birdland, Leicestershire","http://www.wikidata.org/entity/Q7845760"
"Tropiquaria","http://www.wikidata.org/entity/Q7846248"
"Tupelo Buffalo Park and Zoo","http://www.wikidata.org/entity/Q7853507"
"Turtle Back Zoo","http://www.wikidata.org/entity/Q7856369"
"Jinan Zoo","http://www.wikidata.org/entity/Q9097826"
"Parque Municipal Summit","http://www.wikidata.org/entity/Q9055836"
"Pueblo Zoo","http://www.wikidata.org/entity/Q9097833"
"Shoushan Zoo","http://www.wikidata.org/entity/Q9097841"
"Eskişehir Zoo","http://www.wikidata.org/entity/Q19611523"
"Tygerberg Zoo","http://www.wikidata.org/entity/Q20982041"
"Crocodiles of the World","http://www.wikidata.org/entity/Q108471086"
"Bahawalpur Zoo","http://www.wikidata.org/entity/Q4842512"
"Bandung Zoo","http://www.wikidata.org/entity/Q4854746"
"Balkasar Bear Sanctuary","http://www.wikidata.org/entity/Q4851117"
"Jurong Reptile Park","http://www.wikidata.org/entity/Q6315378"
"The Elephant Sanctuary in Tennessee","http://www.wikidata.org/entity/Q105580712"
"Tri-State Zoological Park","http://www.wikidata.org/entity/Q7844168"
"Tripoli Zoo","http://www.wikidata.org/entity/Q7843680"
"Tuần Châu Aquarium","http://www.wikidata.org/entity/Q7850623"
"Kund Park","http://www.wikidata.org/entity/Q6444237"
"Australia Zoo","http://www.wikidata.org/entity/Q781321"
"ZOOM Erlebniswelt Gelsenkirchen","http://www.wikidata.org/entity/Q136330"
"Arignar Anna Zoological Park","http://www.wikidata.org/entity/Q647587"
"Dolphin Research Center","http://www.wikidata.org/entity/Q649904"
"Jijamata Udyaan","http://www.wikidata.org/entity/Q647766"
"Réserve Africaine de Sigean","http://www.wikidata.org/entity/Q1479980"
"Chemnitz Zoo","http://www.wikidata.org/entity/Q1577839"
"ABQ BioPark Botanic Garden","http://www.wikidata.org/entity/Q2843476"
"New England Aquarium","http://www.wikidata.org/entity/Q2859185"
"Karagandy Zoo","http://www.wikidata.org/entity/Q290283"
"Nehru Zoological Park","http://www.wikidata.org/entity/Q3493970"
"Padmaja Naidu Himalayan Zoological Park","http://www.wikidata.org/entity/Q3495905"
"Silesian Zoological Garden","http://www.wikidata.org/entity/Q3498147"
"Silver Springs (attraction)","http://www.wikidata.org/entity/Q3484004"
"St. Augustine Alligator Farm Zoological Park","http://www.wikidata.org/entity/Q3495242"
"Flying High Bird Sanctuary","http://www.wikidata.org/entity/Q5463448"
"Folly Farm Adventure Park and Zoo","http://www.wikidata.org/entity/Q5464809"
"Folsom City Zoo Sanctuary","http://www.wikidata.org/entity/Q5464852"
"Forestry Farm Park and Zoo","http://www.wikidata.org/entity/Q5469254"
"Bayer Insectarium","http://www.wikidata.org/entity/Q6902500"
"Monarto Safari Park","http://www.wikidata.org/entity/Q6898210"
"Monkey Jungle","http://www.wikidata.org/entity/Q6900777"
"Montgomery Zoo","http://www.wikidata.org/entity/Q6905834"
"Moody Gardens","http://www.wikidata.org/entity/Q6907207"
"Moonlit Sanctuary Wildlife Conservation Park","http://www.wikidata.org/entity/Q6907907"
"Nashville Zoo at Grassmere","http://www.wikidata.org/entity/Q6896316"
"Oaklawn Farm Zoo","http://www.wikidata.org/entity/Q7074095"
"Odense Zoo","http://www.wikidata.org/entity/Q7077669"
